name,h2,h3,h4,endorser,link
Amy Klobuchar,State officials,State legislators,Current,Melissa Halvorson Wiklund,https://en.wikipedia.org/wiki/Melissa_Halvorson_Wiklund
Amy Klobuchar,State officials,State legislators,Current,Matt Klein,https://en.wikipedia.org/wiki/Matt_Klein
Amy Klobuchar,State officials,State legislators,Current,Greg Clausen,https://en.wikipedia.org/wiki/Greg_Clausen
Amy Klobuchar,State officials,State legislators,Current,Susan Kent,https://en.wikipedia.org/wiki/Susan_Kent_(politician)
Amy Klobuchar,State officials,State legislators,Current,Karla Bigham,https://en.wikipedia.org/wiki/Karla_Bigham
Amy Klobuchar,State officials,State legislators,Current,Matt Little,https://en.wikipedia.org/wiki/Matt_Little
Amy Klobuchar,State officials,State legislators,Current,Kari Dziedzic,https://en.wikipedia.org/wiki/Kari_Dziedzic
Amy Klobuchar,State officials,State legislators,Current,Patricia Torres Ray,https://en.wikipedia.org/wiki/Patricia_Torres_Ray
Amy Klobuchar,State officials,State legislators,Current,Dick Cohen,https://en.wikipedia.org/wiki/Dick_Cohen
Amy Klobuchar,State officials,State legislators,Current,Sandy Pappas,https://en.wikipedia.org/wiki/Sandy_Pappas
Amy Klobuchar,State officials,State legislators,Current,Foung Hawj,https://en.wikipedia.org/wiki/Foung_Hawj
Amy Klobuchar,State officials,State legislators,Current,Melissa Hortman,https://en.wikipedia.org/wiki/Melissa_Hortman
Amy Klobuchar,State officials,State legislators,Current,Ryan Winkler,https://en.wikipedia.org/wiki/Ryan_Winkler
Amy Klobuchar,State officials,State legislators,Current,Ben Lien,https://en.wikipedia.org/wiki/Ben_Lien
Amy Klobuchar,State officials,State legislators,Current,John Persell,https://en.wikipedia.org/wiki/John_Persell
Amy Klobuchar,State officials,State legislators,Current,Jennifer Schultz,https://en.wikipedia.org/wiki/Jennifer_Schultz
Amy Klobuchar,State officials,State legislators,Current,Dan Wolgamott,https://en.wikipedia.org/wiki/Dan_Wolgamott
Amy Klobuchar,State officials,State legislators,Current,Jeff Brand,https://en.wikipedia.org/wiki/Jeff_Brand
Amy Klobuchar,State officials,State legislators,Current,Jack Considine,https://en.wikipedia.org/wiki/Jack_Considine
Amy Klobuchar,State officials,State legislators,Current,Duane Sauke,https://en.wikipedia.org/wiki/Duane_Sauke
Amy Klobuchar,State officials,State legislators,Current,Kelly Morrison,https://en.wikipedia.org/wiki/Kelly_Morrison
Amy Klobuchar,State officials,State legislators,Current,Zack Stephenson,https://en.wikipedia.org/wiki/Zack_Stephenson
Amy Klobuchar,State officials,State legislators,Current,Kristin Bahner,https://en.wikipedia.org/wiki/Kristin_Bahner
Amy Klobuchar,State officials,State legislators,Current,Mike Nelson,https://en.wikipedia.org/wiki/Mike_Nelson_(Minnesota_politician)
Amy Klobuchar,State officials,State legislators,Current,Peter Fischer,https://en.wikipedia.org/wiki/Peter_Fischer_(politician)
Amy Klobuchar,State officials,State legislators,Current,Connie Bernardy,https://en.wikipedia.org/wiki/Connie_Bernardy
Amy Klobuchar,State officials,State legislators,Current,Kelly Moller,https://en.wikipedia.org/wiki/Kelly_Moller
Amy Klobuchar,State officials,State legislators,Current,Ginny Klevorn,https://en.wikipedia.org/wiki/Ginny_Klevorn
Amy Klobuchar,State officials,State legislators,Current,Patty Acomb,https://en.wikipedia.org/wiki/Patty_Acomb
Amy Klobuchar,State officials,State legislators,Current,Mike Freiberg,https://en.wikipedia.org/wiki/Mike_Freiberg
Amy Klobuchar,State officials,State legislators,Current,Cheryl Youakim,https://en.wikipedia.org/wiki/Cheryl_Youakim
Amy Klobuchar,State officials,State legislators,Current,Laurie Pryor,https://en.wikipedia.org/wiki/Laurie_Pryor
Amy Klobuchar,State officials,State legislators,Current,Heather Edelson,https://en.wikipedia.org/wiki/Heather_Edelson
Amy Klobuchar,State officials,State legislators,Current,Minnesota State Representative,https://en.wikipedia.org/wiki/Minnesota_House_of_Representatives
Amy Klobuchar,State officials,State legislators,Current,Sandra Masin,https://en.wikipedia.org/wiki/Sandra_Masin
Amy Klobuchar,State officials,State legislators,Current,Laurie Halverson,https://en.wikipedia.org/wiki/Laurie_Halverson
Amy Klobuchar,State officials,State legislators,Current,Brad Tabke,https://en.wikipedia.org/wiki/Brad_Tabke
Amy Klobuchar,State officials,State legislators,Current,Minnesota State Representative,https://en.wikipedia.org/wiki/Minnesota_House_of_Representatives
Amy Klobuchar,State officials,State legislators,Current,Minnesota State Representative,https://en.wikipedia.org/wiki/Minnesota_House_of_Representatives
Amy Klobuchar,State officials,State legislators,Current,John Huot,https://en.wikipedia.org/wiki/John_Huot
Amy Klobuchar,State officials,State legislators,Current,Mohamud Noor,https://en.wikipedia.org/wiki/Mohamud_Noor
Amy Klobuchar,State officials,State legislators,Current,Frank Hornstein,https://en.wikipedia.org/wiki/Frank_Hornstein
Amy Klobuchar,State officials,State legislators,Current,New Hampshire State Representative,https://en.wikipedia.org/wiki/New_Hampshire_House_of_Representatives
Amy Klobuchar,State officials,State legislators,Current,New Hampshire State Representative,https://en.wikipedia.org/wiki/New_Hampshire_House_of_Representatives
Amy Klobuchar,State officials,State legislators,Current,New Hampshire State Representative,https://en.wikipedia.org/wiki/New_Hampshire_House_of_Representatives
Amy Klobuchar,State officials,State legislators,Current,Dominick J. Ruggerio,https://en.wikipedia.org/wiki/Dominick_J._Ruggerio
Amy Klobuchar,State officials,State legislators,Current,Nicholas Mattiello,https://en.wikipedia.org/wiki/Nicholas_Mattiello
Amy Klobuchar,State officials,State legislators,Current,Creigh Deeds,https://en.wikipedia.org/wiki/Creigh_Deeds
Amy Klobuchar,State officials,State legislators,Current,Janet Howell,https://en.wikipedia.org/wiki/Janet_Howell
Amy Klobuchar,State officials,State legislators,Former,David Johnson,https://en.wikipedia.org/wiki/David_Johnson_(Iowa_politician)
Amy Klobuchar,State officials,State legislators,Former,Roger Stewart,https://en.wikipedia.org/wiki/Roger_Stewart
Amy Klobuchar,State officials,State legislators,Former,Swati Dandekar,https://en.wikipedia.org/wiki/Swati_Dandekar
Amy Klobuchar,State officials,State legislators,Former,Patrick J. Deluhery,https://en.wikipedia.org/wiki/Patrick_J._Deluhery
Amy Klobuchar,State officials,State legislators,Former,Bill Gannon,https://en.wikipedia.org/wiki/William_J._Gannon
Amy Klobuchar,State officials,State legislators,Former,Iowa State Representative,https://en.wikipedia.org/wiki/Iowa_House_of_Representatives
Amy Klobuchar,State officials,State legislators,Former,Iowa State Representative,https://en.wikipedia.org/wiki/Iowa_House_of_Representatives
Amy Klobuchar,State officials,State legislators,Former,John Wittneben,https://en.wikipedia.org/wiki/John_Wittneben
Amy Klobuchar,State officials,State legislators,Former,Marcella Frevert,https://en.wikipedia.org/wiki/Marcella_Frevert
Amy Klobuchar,State officials,State legislators,Former,William Witt,https://en.wikipedia.org/wiki/William_Witt
Amy Klobuchar,State officials,State legislators,Former,Darrell Hanson,https://en.wikipedia.org/wiki/Darrell_Hanson
Amy Klobuchar,State officials,State legislators,Former,Steve Falck,https://en.wikipedia.org/wiki/Steve_Falck
Amy Klobuchar,State officials,State legislators,Former,Kay Halloran,https://en.wikipedia.org/wiki/Kay_Halloran
Amy Klobuchar,State officials,State legislators,Former,Iowa State Representative,https://en.wikipedia.org/wiki/Iowa_House_of_Representatives
Amy Klobuchar,State officials,State legislators,Former,Iowa State Representative,https://en.wikipedia.org/wiki/Iowa_House_of_Representatives
Amy Klobuchar,State officials,State legislators,Former,Sally Stutsman,https://en.wikipedia.org/wiki/Sally_Stutsman
Amy Klobuchar,State officials,State legislators,Former,New Hampshire State Representative,https://en.wikipedia.org/wiki/New_Hampshire_House_of_Representatives
Amy Klobuchar,State officials,State legislators,Former,New Hampshire State Representative,https://en.wikipedia.org/wiki/New_Hampshire_House_of_Representatives
Amy Klobuchar,Local and municipal officials,False,Current,Melvin Carter,https://en.wikipedia.org/wiki/Melvin_Carter_III
Amy Klobuchar,Local and municipal officials,False,Current,Jacob Frey,https://en.wikipedia.org/wiki/Jacob_Frey
Amy Klobuchar,Local and municipal officials,False,Current,Emily Larson,https://en.wikipedia.org/wiki/Emily_Larson
Amy Klobuchar,Party officials,False,Current,Norm Sterzenbach,https://en.wikipedia.org/wiki/Norm_Sterzenbach
Amy Klobuchar,Party officials,False,Former,Andy McGuire,https://en.wikipedia.org/wiki/Andy_McGuire
